Denominazione,Abstract,Categoria,Tipologia_Prevalente,Comune,Indirizzo,Proprieta,Date_complesso_archivistico,lat_comune,long_omune
Mostra della Civiltà Contadina,"Dal 2007 a Colobraro, nei locali dell’ex scuola media in viale Vittorio Veneto, è visitabile, durante il periodo estivo, la ""Mostra permanente sulla civiltà contadina"". L’esposizione è figlia del progetto “La memoria racconta”, messo in atto dagli insegnanti della scuola primaria e secondaria di primo grado di Colobraro. Di essa sono testimonianza gli attrezzi esposti, legati agli antichi sistemi del lavoro agricolo e alla vita quotidiana. ; Dal 2008 alla mostra sulla civiltà contadina se ne sono affiancate altre due: la mostra fotografica permanente della comunità di Colobraro dal titolo Le immagini ritrovate e la mostra archeologica Frammenti di vita quotidiana a Colobraro. La prima, nata su iniziativa dell'associazione culturale InLoco, con la collaborazione dell’Editrice ArchiviA e della Biblioteca di Colobraro, presenta le fotografie d’epoca del paese e attraverso di esse illustra la storia dei suoi protagonisti. La seconda, organizzata dalla Soprintendenza per i Beni Archeologici della Basilicata e dal Museo di Policoro, presenta i reperti medievali rinvenuti nel centro storico di Colobraro a seguito di recenti campagne di scavo archeologico. Raccoglie alcuni quadri dell'artista Luca Celano, le poesie di Antonio Bruno e le sculture di Nicola Iannarelli.",Archivio Collezioni Private,Collezione oggettuale,Colobraro,"Viale Vittorio Veneto, 20 - 75021 Colobraro (MT)",Comune di Colobraro,2007-2018,40.1884629,16.4259629
Archivio Storico Comunale di Castronuovo di Sant'Andrea,"L'archivio comprende atti delle 15 categorie. La documentazione inizia sostanzialmente dal 1910 ad eccezione di 8 pacchi di carte contabili la cui data iniziale è quella del 1818, di un registro di deliberazioni del 1885, di alcuni atti demaniali e tipi planimetrici del periodo 1872-1895 e 5 registri del catasto del 1908. La modesta consistenza del materiale cartaceo, quasi completamente successivo al 1910, fa presumere che siano stati effettuati, in tempi ignoti, scarti arbitrari.",Archivio Pubblico Non Statale,Archivio documentale,Castronuovo di Sant'Andrea,Comune di Castronuovo di Sant'Andrea ; Via Giardino ; 85030 Castronuovo di Sant'Andrea PZ,Comune di Castronuovo di Sant'Andrea,1818 - 1970,40.1893690,16.1852579
MIG Museo Internazionale della Grafica,"Il Museo Internazionale della Grafica, per il carattere particolare della sua collezione e del lavoro che intende svolgere, convive con la rinnovata Biblioteca Comunale “Alessandro Appella”, ricca di oltre 30.000 volumi pronti a soddisfare le esigenze dei 24 Comuni facenti parte del Parco del Pollino (Castronuovo, Calvera, Castelluccio Inferiore, Castelluccio Superiore, Castelsaraceno, Carbone, Cersosimo, Chiaromonte, Episcopia, Fardella, Francavilla in Sinni, Latronico, Lauria, Noepoli, Rotonda, San Costantino Albanese, San Giorgio Lucano, San Paolo Albanese, San Severino Lucano, Senise, Teana, Terranova di Pollino, Valsinni e Viggianello) e dei paesi limitrofi (Roccanova, Sant’Arcangelo, Gallicchio, San Chirico Raparo, San Martino D’Agri, Missanello), con una popolazione complessiva di 70.696 abitanti. Dopo il MUSMA di Matera, il MIG. Museo Internazionale della Grafica, che ha scelto come suo logo un segno-ragnatela di Guido Strazza, un grande incisore cresciuto in pieno nel clima dell’Europa che l’arte, prima della politica, aveva già unito, si pone come una nuova ricchezza per il territorio e per la Regione tutta e riaccende l’interesse per i nostri centri storici. Il Museo, infatti, è posto al centro del paese e, per volere del Sindaco e della sua Giunta, torna a ridare vita all’abitato antico, tra la Cappella di S. Maria delle Grazie, la Chiesa Madre, il Palazzo dello Speziale, il Castello Marchesale e la casa natale di Sant’Andrea Avellino. La mostra inaugurale, a cura di Giuseppe Appella, ha un titolo non dissimile da un programma: Per una storia della grafica europea del Novecento. Allinea artisti inseriti nei loro confini nazionali ma capaci di tracciare un racconto storico che, al tempo stesso, mettendo in parallelo varie culture e dando la possibilità di leggervi le varie correnti e i vari “ismi” del secolo, è un racconto critico. Infatti, all’insegna della “grafica” intesa alla tedesca, quindi di opere incise o stampate nelle diverse tecniche (xilografia, acquaforte, linoleum, litografia, serigrafia), e di una variegata interpretazione della realtà vista da angolazioni diversissime e in particolari momenti storici, è tutto un convivere e intersecarsi di movimenti artistici e di avvenimenti il lavoro di Alechinsky, Appel, Assadour, Avati, Arp, Bartolini, Bellmer, Braque, Burri, Bissiere, Bazaine, Beuys, Bill, Campigli, Campendonk, Chagall, Carrà, Ciarrocchi, Castellani, Cerone, Corneille, Chadwick, Clavé, Capogrossi, Consagra, De Chirico, Dix, Dalì, De Pisis, Dine, De Segonzac, Dubuffet, Dorazio, Delaunay, Ensor, Ernst, Fontana, Felixmuller, Fautrier, Fazzini, Feininger, Fuchs, Friedlaender, Gentilini, Goetz, Grosz, Hockney, Hartung, Heckel, Jorn, Kandinskij, Klee, Kolar, Kollwitz, Kounellis, Kubin, Léger, Lardera, Maccari, Marino, Music, Manessier, Manzù, Matta, Masson, Man Ray, Magnelli, Melotti, Michaux, Mirò, Mondrian, Morandi, Moore, Napoleone, Novelli, Ortega, Picasso, Piza, Poliakoff, Prampolini, Perilli, Raphaël, Richter, Rotella, Savelli, Savinio, Spacal, Soulages, Severini, Sutherland, Scialoja, Schmidt-Rottluff, Strazza, Tapies, Tobey, Vieira Da Silva, Vallotton, Bram Van Velde, Viviani, Vespignani, Villon, Veronesi, Vasarely, Zadkine. Un insieme di nomi clamorosi ma anche di figure minori, di voci non soliste che, comunque, aiutano a comporre il coro di una chiarificatrice rappresentazione storica Ne deriva un mosaico vivo e pulsante, capace di tracciare un discorso sul passato e di aprire a intuizioni future, a una sorta di afflato dei tempi nuovi che si preannunciano all’insegna di una straordinaria libertà espressiva. Per questo, alla notizia dell’inaugurazione della mostra si accompagna il programma futuro del MIG: un modo per approfondire, in una biblioteca, proprio come si faceva nei secoli passati, quanto la mostra accenna, utilizzando il metodo del libro d’arte che misura l’ispirazione dei poeti con quella degli artisti, tanto da portare, nel secolo appena trascorso, alla consonanza di parola e immagine (ut pictura poesis) e alla perfetta convivenza di carta, parola, incisione, caratteri tipografici, rilegatura e quanto altro rende possibile il viaggio nella creatività di un secolo.",Archivio Collezioni Private,Collezione opere grafiche;Fondo librario,Castronuovo di Sant'Andrea,"Piazza Guglielmo Marconi 3, ; 85030 Castronuovo di Sant'Andrea, Pz",Comunale,,40.1893690,16.1852579
Archivio Storico Comunale di San Chirico Raparo,,Archivio Pubblico Non Statale,Archivio documentale,San Chirico Raparo,"Piazza Roma, 1 ; 85030 San Chirico Raparo PZ",Comune di San Chirico Raparo,,40.1903821,16.0770673
Archivio Storico Comunale di Policoro,"Deliberazioni originali del consiglio comunale, voll. 57 bb. 4, 1959 - 1996; - Deliberazioni originali della giunta comunale, voll. 191, 1959 - 1993; ; - Copie delle deliberazioni del consiglio, bb. 108, 1959 - 1997; ; - Copie delle deliberazioni della giunta, bb. 278, 1959 - 1997. La documentazione si trova in estremo disordine esclusi gli atti deliberativi. Il complesso documentario ha come riferimento cronologico iniziale quello dell'istituzione del Comune avvenuta nel 1959.",Archivio Pubblico Non Statale,Archivio documentale,Policoro,"Piazza Aldo Moro, 1 ; 75025 Policoro MT",Comune di Policoro,1959 - 1997,40.2129679,16.6783390
Archivio Storico Comunale di Roccanova,,Archivio Pubblico Non Statale,Archivio documentale,Roccanova,"Piazza Marconi, 12 ; 85036 Roccanova PZ",Comune di Roccanova,,40.2131481,16.2040740
Archivio Storico Comunale di San Martino d'Agri,,Archivio Pubblico Non Statale,Archivio documentale,San Martino d'Agri,"Via Mercato, 38 ; 85030 San Martino d'Agri PZ",Comune di San Martino d'Agri,,40.2407962,16.0539074
Archivio Storico Comunale di Moliterno,"Lo stato precario di conservazione dei documenti ne ha impedito la libera consultazione: solo il nucleo più antico è inventariato e custodito in maniera apparentemente ordinata su scaffalatura metallica. Per ovviare a tale situazione l'Amministrazione comunale in data 12 marzo 2004 ha presentato alla presidenza del Consiglio dei Ministri un progetto (per l'utilizzo della quota dell'otto per mille dell'IRPEF a diretta gestione statale) per ""Schedatura informatizzata, riordino, inventariazione e valorizzazione dell'Archivio storico"". La conservazione dell'archivio storico e la gestione del servizio di consultazione sono affidati alla Biblioteca Comunale ""Giacomo Racioppi"", di cui è responsabile la dottoressa Nilla Lagrutta. ; Orario di apertura: ; Lunedì-venerdì: 8,00-20,00 ; sabato: 8,00-13,00",Archivio Pubblico Non Statale,Archivio documentale,Moliterno,"Piazza V. Emanuele, 6 ; 85047 Moliterno PZ",Comune di Moliterno,1777 - 1970,40.2428148,15.8643888
Archivio Storico Comunale di Tursi,"Consistenza: Unità 638: regg. 638 ; Storia archivistica: Gli atti si conservano presso l'Ufficio di Stato civile del comune distinti per serie ed ordinati cronologicamente. La documentazione comunale risulta dislocata in diversi ambienti e, in massima parte, a causa della mancanza di un unico capiente locale di concentrazione, si trova giacente ancora presso i diversi uffici che l'hanno prodotta. Non esiste affatto una distinzione tra archivio storico e di deposito ed il complesso si trova in stato di disordine. Il materiale archivistico ha patito un incendio avvenuto nel 1999 e, probabilmente, uno scarto abusivo. Presso alcuni uffici produttori è stato possibile individuare partizioni omogenee di documentazione sommariamente ordinata di cui è stata rilevata la consistenza.",Archivio Pubblico Non Statale,Archivio documentale,Tursi,Piazza Maria S.S. di Anglona ; 75028 Tursi MT,Comune di Tursi,1852 - 1999,40.2462592,16.4706481
"Museo della Poesia Pierriana nella casa-museo ""Albino Pierro""","Documentazione afferente quasi esclusivamente l'attività poetica di Albino Pierro: articoli di e su Pierro, raccolte di poesie con relative traduzioni in varie lingue, articoli su personaggi della letteratura italiana pubblicati sulla stampa straniera (soprattutto svedese), corrispondenza, dischi 33 giri di musica folk.",Archivio Collezioni Private,Archivio documentale,Tursi,Viale Sant'Anna,CENTRO STUDI “ALBINO PIERRO” ONLUS,1940-1995,40.2462592,16.4706481
Archivio Storico diocesano della Diocesi Tursi-Lagonegro,,Archivio Diocesano,Archivio documentale,Tursi,"Piazza Cattedrale, 8 -75028",Chiesa Cattolica,,40.2462592,16.4706481
Archivio Associazione Tribalarte,"I riti del matrimonio del 900 a Tursi ed in Basilicata. La necessità di salvaguardare il bene intangibile nasce dall'esigenza di recuperare e valorizzare un antico patrimonio culturale che per secoli la tradizione orale ha mantenuto vivo nell'anima popolare. ; I riti del matrimonio tursitano antico studiati e valorizzati fin dal 1980 dal gruppo folklorico ""Anglona"" insieme all'associazione Tribalarte sono il frutto di un paziente lavoro di ricerca che in modo sistematico raccoglie, ordina e rielabora i dialoghi, i canti, le musiche e le danze che da sempre accompagnavano i momenti più significativi della vita del paese. ; L'interesse rivolto ad un'attenta ricostruzione nel campo dei costumi, degli strumenti e del linguaggio ha consentito alle associazioni di raggiungere un livello espressivo che è stato riconosciuto ed apprezzato in tutti gli spettacoli in Basilicata e fuori Regione.",Archivio Collezioni Private,Archivio sonoro;Collezione oggettuale,Tursi,,Associazione Tribalarte,,40.2462592,16.4706481
Archivio Storico Comunale di Sarconi,,Archivio Pubblico Non Statale,Archivio documentale,Sarconi,"Piazza Municipio, 11 ; 85050 Sarconi PZ",Comune di Sarconi,,40.2484297,15.8896283
Archivio Storico Comunale di Sant'Arcangelo,,Archivio Pubblico Non Statale,Archivio documentale,Sant'Arcangelo,Corso Vittorio Emanuele ; 85037 Sant'Arcangelo PZ,Comune di Sant'Arcangelo,,40.2484629,16.2720370
Archivio Storico Comunale di Spinoso,,Archivio Pubblico Non Statale,Archivio documentale,Spinoso,"Via Petrocelli, 1 ; 85039 Spinoso PZ",Comune di Spinoso,,40.2703333,15.9675185
Archivio Storico Comunale di Missanello,,Archivio Pubblico Non Statale,Archivio documentale,Missanello,"Via Bendini, 2 ; 85010 Missanello PZ",Comune di Missanello,,40.2831481,16.1668888
Archivio Storico Comunale di Grumento Nova,"- Deliberazioni decurionali, di giunta e consiglio ; - Catasto del nuovo generale apprezzo della Terra di Saponara nei limiti di Tramutola ; - Catasto provvisorio ; - Carteggio",Archivio Pubblico Non Statale,Archivio documentale,Grumento Nova,"Piazza Sandro Pertini, 1 ; 85050 Grumento Nova PZ",Comune di Grumento Nova,1569 - 2003,40.2839259,15.8897037
Archivio Storico Comunale di Gallicchio,"ARCHIVIO COMUNALE (STORICO e Di DEPOSITO) è in parte conservato ed in parte in via di allestimento nei locali che hanno ospitato la biblioteca comunale dal 1984 al 2001. L'archivio comunale puo' essere a ragione considerato l'unica fonte storica di Gallicchio . ; Ad oggi esiste una sezione storica ( atti precedenti al 1940) inventariata e censita dalla Soprintendenza competente , quindi una sezione di atti amministrativi fino al 1985 distinti per categoria e quindi gli atti successivi sino al 2014 , che sono accatastati in modo caotico e disordinato a seguito del trasferimento delle CARTE una prima volta dalla vecchia sede municipale nel 1999 e quindi dalla nuova sede comunale nel 2015 per il trasferimento delle scuole nei locali del MUNICIPIO ed il restringimento degli spazi comunali. L'intervento è diretto prioritariamente a: trasloco dell'archivio storico, ricostruzione della serie archivistica; riordino ed inventariazione del fondo; digitalizzazione dei documenti piu' interessanti. Gli interventi sono di natura straordinaria ; SEZIONE I (1860 - 2002) L'archivio è stato riordinato negli anni 1990-1993 in seguito all'attuazione di uno specifico progetto di riordinamento predisposto dall'amministrazione comunale e finanziato ai sensi dell'art. 23 della L. 67/88. Degli atti oggetto dell'intervento di recupero è stato redatto l'inventario. La documentazione, precedentemente conservata nel massimo disordine e priva di alcuna classificazione, è stata riordinata secondo il titolario di classificazione del 1897. L'archivio è costituito, ad eccezione di pochi documenti risalenti al secolo XIX, da atti del XX secolo: ciò si deve attribuire alle consistenti perdite di materiale archivistico conseguenti a due incendi della casa comunale risalenti agli anni 1920-21 e 1934 e ad uno scarto, presumibilmente abusivo, avvenuto nel 1939. ; SEZIONE II (1999 - 2004) Gli atti non ricevono alcuna classificazione dal protocollista: tuttavia, nel passaggio all'archivio di deposito, vengono riordinati in conformità alle quindici categorie del titolario del 1897. Il complesso, in cui risulta nettamente prevalente la documentazione relativa alla ricostruzione (seguita al terremoto del 1980 ai sensi della L. 219/81) e all'attività dell'ufficio Tecnico, contiene atti che dovrebbero confluire nell'archivio di deposito e nella Sezione Separata, ad es.: registri di concessione edilizia e di commissione comunale edilizia del 1971 e gli atti del terremoto del 1981.",Archivio Pubblico Non Statale,Archivio documentale,Gallicchio,"Via Martiri d'Ungheria, 3 ; 85010 Gallicchio PZ",Comune di Gallicchio,1860 - 2004,40.2892890,16.1389587
Archivio Centro di documentazione sinisgalliana,"La figura di Leonardo Sinisgalli è certamente di grande importanza nell’ambito dell’interesse turistico-culturale di Montemurro. Attraverso la sua laboriosa attività, l’autore ha raccolto una copiosa biblioteca, che rispecchia l'indole di un uomo straordinario che amava la Cultura, in tutte le sue espressioni - dalla storia alla matematica, filosofia, arte, scienze, architettura e letteratura-, e ha lasciato ai posteri la sua scrivania, il suo ritratto realizzato dalla pittrice conterranea Maria Padula e la macchina da scrivere Olivetti, fondamentale strumento per forgiare la sua fertile produzione di opere poetiche, di narrativa, saggistica e per esprimersi in maniera poliedrica come pubblicista, come critico d’arte, traduttore, art director, documentarista, ed infine come autore radiofonico e disegnatore.",Archivio Collezioni Private,Archivi delle scritture autobografiche,Montemurro,"Piazza Garibaldi, ; 85053 Montemurro, Pz",Comune di Montemurro,,40.2979814,15.9922037
Archivio Storico Comunale di Montemurro,,Archivio Pubblico Non Statale,Archivio documentale,Montemurro,Largo Sant'Antonio ; 85053 Montemurro PZ,Comune di Montemurro,,40.2979814,15.9922037
Archivio Storico Comunale di Armento,- Deliberazioni del consiglio e della giunta. ; - Conti e Bilanci ; - Opere pubbliche ; - Istruzione pubblica ; - Catasto provvisorio. - Carteggio delle 15 categorie. La documentazione storica ha subito considerevoli dispersioni Sia a causa dei numerosi trasferimenti della sede comunale sia per la permanenza del materiale in locali infestati dai ratti. Nel 1976 la documentazione è stata sistemata in modo sommario su scaffalature metalliche. È stato effettuato uno scarto arbitrario di una considerevole quantità di materiale archivistico.,Archivio Pubblico Non Statale,Archivio documentale,Armento,"Comune di Armento ; Piazza Umberto I, 13 ; 85010 Armento PZ",Comune di Armento,1828 - 1987,40.3077994,16.0654712
Archivio Storico Comunale di Aliano,"- Registri degli atti di nascita ; - Registri degli atti di morte ; - Registri degli atti di matrimonio ; - Registri degli atti diversi ; - Registri degli atti di cittadinanza La documentazione storica, che negli ultimi anni ha patito spostamenti selvaggi e collocazioni in siti inidonei alla conservazione, è ora collocata in una stanza al primo piano di uno stabile di proprietà comunale, ubicato in via Martiri d'Ungheria, dove hanno sede gli uffici del Parco Letterario ""Carlo Levi"". Altra documentazione afferente all'archivio di deposito si trova collocata presso la casa municipale e in un prefabbricato sito nel cortile del Comune. Non esiste un servizio d'archivio formalmente istituito e la documentazione può essere consultata a richiesta presentando opportuna istanza al sindaco. ; Comprende gli atti civili non solo di Aliano ma anche di una frazione, Alianello, situata a pochi chilometri dal comune. Spesso in un unico registro di stato civile sono registrati e accorpati sia gli atti del comune di Aliano che quelli della frazione di Alianello.",Archivio Pubblico Non Statale,Archivio documentale,Aliano,"Via Martiri d'Ungheria, 43 ; 75010 Aliano MT",Comune di Aliano,,40.3137870,16.2298530
"Parco Letterario ""Carlo Levi""","Pinacoteca: Ospita opere di Carlo Levi realizzate durante il confino, prima a Grassano (MT) e poi ad Aliano. Un colore allucinato ed espressivo si infila dove dovrebbero apparire ombreggiature e nasce la pittura magica di Carlo Levi. Del quale continua a vivere nel paese non solo la memoria ma il fiato. Levi qui è un nume tutelare, un dio protettivo. All’interno della suddetta pinacoteca è raccolta la documentazione storica del confino di Carlo Levi. Vi sono conservati dipinti originali del , litografie, documenti storici e mostra fotografica permanente inerente Levi dalla nascita fino al funerale ad Aliano. Museo della “Civiltà contadina”: dove, oltre ad esserci tutto ciò che riguarda le antiche procedure di produzione dell’olio, vi sono diversi oggetti legati alla coltivazione dei campi, alla mungitura del latte, alla produzione del formaggio, le suppellettili, una stanza contadina, con rispettivo letto, culla e tanto altro ancora, attraverso la visita a questo museo ci si ritrova immersi all’epoca in cui ha vissuto Levi con i contadini.",Archivio Collezioni Private,Archivio multimediale;Collezione oggettuale,Aliano,"Vico Martiri d'Ungheria,1- 75010 Aliano (MT)",Comune di Aliano,1935-36,40.3137870,16.2298530
Archivio Storico Comunale di Tramutola,,Archivio Pubblico Non Statale,Archivio documentale,Tramutola,Piazza del Popolo ; 85057 Tramutola PZ,Comune di Tramutola,,40.3154100,15.7896910
Archivio Storico Comunale di Viggiano,,Archivio Pubblico Non Statale,Archivio documentale,Viggiano,"Via Roma, 51 ; 85059 Viggiano PZ",Comune di Viggiano,,40.3402980,15.8978490
Museo delle Tradizioni Locali,"L’esposizione è ospitata in alcuni ambienti ristrutturati del Convento di Santa Maria del Gesù, che fu costruito nel 1478 dai monaci dell’ordine francescano. Il museo, nato dalla collaborazione, a partire dal 2000, tra l’Amministrazione Comunale di Viggiano e il locale Istituto Scolastico Statale Comprensivo di Scuola Materna, Elementare e Media, rappresenta l’esito di un progetto scolastico triennale del suddetto istituto, che consisteva nella realizzazione di un Museo delle tradizioni Locali da istituire a Viggiano. La collezione, composta da circa 750 oggetti, tutti provenienti dal territorio di Viggiano, è allestita in 8 ambienti e documenta il lavoro agricolo e pastorale (cerealicoltura, vitivinicoltura, pastorizia), i mestieri artigianali (calzolaio, falegname, fabbro), la vita domestica (con la ricostruzione di una cucina tradizionale e di una camera da letto della casa del ceto medio di fine Ottocento), i giochi dei bambini, i musicanti girovaghi viggianesi, la devozione per la Madonna Nera e i costumi tradizionali della Basilicata. L’esposizione è arricchita anche da una sala dedicata ai lavori realizzati dagli alunni, che attestano gli obiettivi didattici ed educativi perseguiti durante tale progetto scolastico. L’allestimento è stato realizzato dagli alunni dell'Istituto Comprensivo di Viggiano e dai docenti del gruppo di progettazione del museo, coordinati dall’insegnate Maria Letizia Peluso. ; Attualmente la gestione del museo è affidata alla Pro Loco di Viggiano e in particolare al suo presidente, il dott. Gaetano Caiazza",Archivio Collezioni Private,Collezione oggettuale,Viggiano,"Rione S. Angelo, Convento Santa Maria del Gesù ; 85059 Viggiano, Pz",Comune di Viggiano,,40.3402980,15.8978490
Archivio Storico Comunale di Guardia Perticara,"Deliberazioni del consiglio - deliberazioni della giunta - deliberazioni del podesta' - deliberazioni del consiglio. Copie - deliberazioni della giunta. Copie - delibere della giunta. Indici - delibere del consiglio. Brogliacci- delibere della giunta. Brogliacci - determinazioni - onaordinanze del sindaco - protocolli della corrispondenza - contratti - repertori dei contratti - concorsi - fascicoli del personale - personale - protesti cambiari - diritti di segreteria. Registri - assistenza pubblica - contravvenzioni. Registri - registro delle cause di morte - bilanci di previsione - libri mastri - conti consuntivi - mandati di pagamento. Copie - verbali di chiusura - mutui - dichiarazioni dei redditi- atti contabili - elezioni - delibere della commissione elettorale comunale - liste elettorali eliminate - revisioni elettorali dinamiche - liste di leva - ruoli matricolari - assistenza scolastica - autorizzazioni e pratiche edilizie- strumenti urbanistici: piano regolatore- opere pubbliche- schede di rilevazione danni terremoto 1980- ricostruzione edilizia residenziale privata e pubblica l. 219/81 - perizie l. reg. 37/1988 - progetti edilizia residenziale privata l. reg. 32/92 ; - censimento generale del commercio, industria e artigianato ; - registri delle pratiche d'emigrazione e immigrazione ; - carteggio delle 15 categorie Il complesso è costitutito prevalentemente da documenti dell'ultimo cinquantennio, tranne che per alcune serie documentarie, appartenente alle XV categorie. La documentazione più antica è andata dispersa a seguito di una conservazione inadeguata e di frequenti traslochi. Nell'anno 2004 l'Amministrazione comunale ha avviato un operazione di riordinamento affidato a personale non specializzato (Lavoratori Socialmente Utili) che non risulta essere stato portato a termine. E' stato possibile individuare alcuni nuclei di documenti omogenei che si segnalano come serie.",Archivio Pubblico Non Statale,Archivio documentale,Guardia Perticara,"Via Principe Umberto, 13 ; 85010 Guardia Perticara PZ",Comune di Guardia Perticara,1881 - 2002,40.3582906,16.1004019
Archivio Storico Comunale di Marsicovetere,"- Carteggio delle XV categorie ; - Catasto provvisorio. La documentazione dell'ente è costituita, ad eccezione di pochi documenti risalenti al secolo scorso, da atti del secolo XX. Tale mutilazione è da imputare ad uno scarto arbitrario effettuato nel 1932. ; L'archivio comprende atti classificati secondo le 15 categorie del Titolario Astengo con pochi documenti del XIX secolo.",Archivio Pubblico Non Statale,Archivio documentale,Marsicovetere,Largo Municipio ; 85050 Marsicovetere PZ,Comune di Marsicovetere,sec. XIX - 1999,40.3768529,15.8240980
Archivio Storico Comunale di Craco,"- Registri degli atti di nascita ; - Registri degli atti di morte ; - Registri degli atti di matrimonio - Registri degli atti di cittadinanza ; - Registri degli atti diversi. Il Comune di Craco conserva la propria documentazione storica, di deposito e relativa allo Stato civile in un unico locale. Non esiste un servizio d'archivio formalmente istituito e la documentazione può essere consultata previa istanza inoltrata al Sindaco.",Archivio Pubblico Non Statale,Archivio documentale,Craco,"Via Mastronardi, 2 ; 75010 Craco MT",Comune di Craco,1813 - 1973,40.3802317,16.4363063
MEC - Parco Museale Scenografico di Craco,"Allestito all’interno degli spazi dell’antico monastero di San Pietro, il MEC – Museo Emozionale di Craco – rappresenta la porta di accesso al paese fantasma di Craco. Il visitatore potrà conoscere attraverso gli strumenti della tecnologia le emozioni, i racconti, i colori di un luogo unico in cui il tempo sembra essersi fermato.",Archivio Collezioni Private,Archivio multimediale,Craco,Strada Comunale Craco Montalbano - 75010 Craco (MT),Comune di Craco,,40.3802317,16.4363063
Archivio Storico Comunale di Corleto Perticara,"SEZIONE I: 1029-2000: Non è presente una vera e propria distinzione tra archivio di deposito e storico, tuttavia i documenti sono organizzati secondo un ordine cronologico. Cospicue dispersioni si sono verificate a causa di un incendio nell'anno 1933, per i bombardamenti aerei subiti nel 1943 e infine per il trasloco delle carte dovuto alla ricostruzione della nuova sede tra il 1958 e il 1959.Comprende atti delle quindici categorie. ; Fatta eccezione per alcuni pezzi isolati datati anteriormente, il carteggio inizia dal 1933, anno in cui la sede comunale venne distrutta da un incendio e con essa quasi tutto il materiale archivistico.Ordinamento: Ordine cronologico. ; ; SEZIONE II: 2000-2004.",Archivio Pubblico Non Statale,Archivio documentale,Corleto Perticara,"Comune di Corleto Perticara ; Piazza Plebiscito, 22 ; 85012 Corleto Perticara PZ",Comune di Corleto Perticara,1920 - 2004,40.3843104,16.0410727
Archivio Storico Comunale di Pisticci,"Il Comune di Pisticci ha collocato il proprio materiale documentale non nella sede municipale ma in un'altro stabile di quattro piani ove la consultazione dei documenti, collocati in diversi ambienti, è resa possibile previa richiesta da inoltrare al responsabile dell'archivio. La documentazione, conservata in siti diversi, risulta in stato di disordine e non vi è alcuna distinzione tra l'archivio storico e quello di deposito. Il cospicuo materiale documentario, che comprende atti delle 15 categorie con alcune serie anteriori al 1897, è per lo più raccolto in buste sui cui dorsi sono annotati sommariamente gli oggetti cui la documentazione si riferisce e, a volte, l'indicazione degli estremi cronologici. Soltanto le serie relative agli atti deliberativi ed ai registri del protocollo della corrispondenza risultano riordinate.",Archivio Pubblico Non Statale,Archivio documentale,Pisticci,"Piazza dei Caduti ; Via di Giulio, 24 ; 75015 Pisticci MT",Comune di Pisticci,1809 - 1998,40.3917147,16.5545725
Archivio della Congregazione di carità ed Opere pie di Pisticci,"1824 - 1938, Gli estremi cronologici si riferiscono a quelli relativi ai documenti conservati in archivio. Non è stato possibile risalire alle date di istituzione delle opere pie.",Archivio Collezioni Private,Archivio documentale,Pisticci,"Piazza dei Caduti, 1, 75015 Pisticci (MT)",Comune di Pisticci,,40.3917147,16.5545725
Archivio Storico Comunale di Gorgoglione,"- Deliberazioni della giunta, del consiglio e del podesta' ; - Liste di leva ; - Ruoli matricolari ; - Carteggio delle 15 categorie. ; L'archivio comprende atti delle 15 categorie con documenti anteriori al 1897 a partire dal 1868.",Archivio Pubblico Non Statale,Archivio documentale,Gorgoglione,"Via Roma, 159 ; 75010 Gorgoglione MT",Comune di Gorgoglione,1868 - 1975,40.3936610,16.1441209
Archivio Storico Comunale di Cirigliano,"A seguito di una frana di considerevoli proporzioni che, nel 1973, causò il cedimento del vecchio municipio, sede dell'archivio, le carte hanno subito notevoli danni e dispersioni. Esse, infatti, furono trasferite, ammassate e abbandonate in un locale provvisorio e, solo di recente, sono state ricollocate presso la nuova sede comunale ma in stato di grave e totale disordine.",Archivio Pubblico Non Statale,Archivio documentale,Cirigliano,"P.zza Municipio, 13 ; 75010 Cirigliano MT",Comune di Cirigliano,,40.3949916,16.1728369
Archivio Storico Comunale di Stigliano,"- Deliberazioni del decurionato ; - Deliberazioni del consiglio ; - Deliberazioni della giunta e del podestà ; - Protocolli della corrispondenza ; - Bilanci di previsione ; - Libri mastri ; - Conti consuntivi ; - Mandati di pagamento ; - Giornali di cassa ; - Atti di contabilità ; - Catasto fabbricati e terreni ; - Liste di leva ; - Documentazione 1812 - 1997 Presso l'ufficio di Stato civile ed Anagrafe del Comune di Stigliano si conservano ordinatamente i registri degli atti di nascita, matrimonio, morte, diversi e di cittadinanza. ; La documentazione d'archivio del comune di Stigliano è stipata in un locale al piano interrato del municipio. Esiste una parziale distinzione tra gli atti ultraquarantennali e quelli dell'ultimo quarantennio. Dal 1998 sino ad oggi il complesso dei documenti è stato oggetto di alcuni sommari lavori di sistemazione e schedatura da parte di Lavoratori Socialmente Utili, ingaggiati per brevi periodi dall'amministrazione comunale. Una parte delle carte è raccolta in buste sui cui dorsi sono annotate a matita le indicazioni sommarie riguardanti il materiale archivistico contenuto.",Archivio Pubblico Non Statale,Archivio documentale,Stigliano,"Via Zanardelli, 33 ; 75018 Stigliano MT",Comune di Stigliano,"1812 - 1997 (Unità 2493: regg. 575, bb. 1690, voll. 218) ; 1812 - 1997 (Consistenza: Unità 1628: regg. 51, bb. 1561, voll. 16)",40.4035200,16.2277300
